id_student,code_module,code_presentation,precision,recall
72609,CCC,2014J,0.65,0.203125
72693,FFF,2013B,0.25,0.09615384615384616
72864,FFF,2013J,0.65,0.22033898305084745
73019,DDD,2014J,0.05,0.1111111111111111
73489,BBB,2013J,0.2,0.17391304347826086
73664,DDD,2014J,0.0,0.0
73874,BBB,2014J,0.15,0.2727272727272727
74113,FFF,2013B,0.0,0.0
74165,FFF,2014J,0.3,0.15384615384615385
74372,AAA,2013J,0.1,0.3333333333333333
74502,DDD,2013J,0.25,0.09615384615384616
74521,FFF,2014B,0.35,0.1794871794871795
74585,BBB,2013J,0.2,0.15384615384615385
74695,BBB,2013B,0.25,0.10869565217391304
74734,BBB,2013B,0.05,0.16666666666666666
75091,AAA,2013J,0.2,0.10526315789473684
75107,FFF,2014J,0.35,0.04929577464788732
75255,AAA,2014J,0.45,0.5
75399,BBB,2013B,0.3,0.20689655172413793
75427,DDD,2014J,0.2,0.1
75454,CCC,2014B,0.3,0.12244897959183673
75728,CCC,2014B,0.0,0.0
76081,DDD,2014B,0.0,0.0
76081,DDD,2014J,0.1,0.06451612903225806
76579,EEE,2013J,0.15,0.375
76579,EEE,2014J,0.2,0.11764705882352941
76949,CCC,2014J,0.4,0.13114754098360656
77241,DDD,2013J,0.05,0.3333333333333333
